iteration_number, input_size, hull_size, time[sec]
1, 10000, 1000, 0.8688207616255528
1, 20000, 1000, 2.1794139644069306
1, 30000, 1000, 2.847946889780788
1, 40000, 1000, 4.4463845493963685
1, 50000, 1000, 5.207685999203282
1, 60000, 1000, 6.3543315130234
1, 70000, 1000, 7.509799191547721
1, 80000, 1000, 9.090840727188588
1, 90000, 1000, 9.970366322502137
1, 100000, 1000, 11.291249178973345
1, 110000, 1000, 13.079782662296616
1, 120000, 1000, 13.931601967099851
1, 130000, 1000, 13.568109006903398
1, 140000, 1000, 13.795200978708891
1, 150000, 1000, 15.38102693049467
1, 160000, 1000, 15.995744815275657
1, 170000, 1000, 20.22149360594085
1, 180000, 1000, 18.547283545374626
1, 190000, 1000, 19.725463456980663
1, 200000, 1000, 19.491274040542407
2, 10000, 1000, 1.0475479559564462
2, 20000, 1000, 1.9667974975969003
2, 30000, 1000, 3.1377400669621522
2, 40000, 1000, 4.199039424458789
2, 50000, 1000, 5.455508252933242
2, 60000, 1000, 6.051494627480565
2, 70000, 1000, 9.719559039457266
2, 80000, 1000, 10.100415303075238
2, 90000, 1000, 9.444035828556878
2, 100000, 1000, 14.624020460332929
2, 110000, 1000, 14.453328147685909
2, 120000, 1000, 15.612358497261766
2, 130000, 1000, 17.405050344677363
2, 140000, 1000, 17.29370292558309
2, 150000, 1000, 18.80443504135593
2, 160000, 1000, 18.218219755757616
2, 170000, 1000, 19.66817354031616
2, 180000, 1000, 22.0702614198089
2, 190000, 1000, 22.02443367109788
2, 200000, 1000, 23.761275193364327
3, 10000, 1000, 1.0151680186683052
3, 20000, 1000, 2.005456416971981
3, 30000, 1000, 2.7901765622685843
3, 40000, 1000, 4.3743910248915086
3, 50000, 1000, 5.486231162540946
3, 60000, 1000, 6.749282973476454
3, 70000, 1000, 7.40852522074897
3, 80000, 1000, 8.789364253576537
3, 90000, 1000, 9.742553529296629
3, 100000, 1000, 11.381011750988819
3, 110000, 1000, 12.046983852698077
3, 120000, 1000, 14.895718435755953
3, 130000, 1000, 14.790626614104553
3, 140000, 1000, 15.80855894386741
3, 150000, 1000, 17.02156556500381
3, 160000, 1000, 20.61416321743161
3, 170000, 1000, 22.688572334653145
3, 180000, 1000, 23.75120666815178
3, 190000, 1000, 25.35513028323726
3, 200000, 1000, 27.2323933116636
4, 10000, 1000, 1.7460415335896187
4, 20000, 1000, 2.3371249277435027
4, 30000, 1000, 3.0407627168360705
4, 40000, 1000, 4.233091979190135
4, 50000, 1000, 6.0038670816826425
4, 60000, 1000, 7.627172464212208
4, 70000, 1000, 8.805063554950038
4, 80000, 1000, 11.213300365087662
4, 90000, 1000, 11.525675313651618
4, 100000, 1000, 12.819127572259617
4, 110000, 1000, 14.501846771503779
4, 120000, 1000, 14.509589550264081
4, 130000, 1000, 15.707451127119384
4, 140000, 1000, 15.641117917273391
4, 150000, 1000, 17.25749118870715
4, 160000, 1000, 19.33669005541344
4, 170000, 1000, 20.13798622111119
4, 180000, 1000, 23.232225106328315
4, 190000, 1000, 22.61843850474486
4, 200000, 1000, 23.49824143373303
5, 10000, 1000, 1.3628582927486832
5, 20000, 1000, 2.7727640280172636
5, 30000, 1000, 3.2934087713749705
5, 40000, 1000, 4.167870155327364
5, 50000, 1000, 5.614575935888297
5, 60000, 1000, 7.3333177435705466
5, 70000, 1000, 7.827723275146582
5, 80000, 1000, 9.09124195845152
5, 90000, 1000, 10.343398576490472
